,id,name,followers_count,friends_count,statuses_count,likes_count
0,13255502,digitaldemented,335,368,3315,410
1,13265552,Charles Hannon,116,145,127,127
2,13275552,Alex,148,673,79,1471
3,13285592,Alex Ibrado,204,508,1179,92
4,13295622,たかおさん,541,698,71237,45731
5,13305672,"Jeff Bridges, job hunting producer",654,764,38261,76088
6,13315712,robertjm,145,353,5068,1683
7,13325762,Marie-Lynn,1477,2909,4033,1757
8,13335772,Stephen Milton,107,133,552,28
9,13345772,cqj,14,461,325,5279
10,13355792,infoscience,32,327,329,6892
11,13365812,Jessica Reed,2753,1489,10297,591
12,13375832,jason nussbaum,158,535,2035,997
13,13385862,D*Detツ,105,419,2362,200
14,13395912,旬の筍,698,947,34333,4036
15,13405982,Matt Monjan,1429,1734,2580,1327
16,13416002,Raire,109,156,15947,4730
17,13426002,Игорь Кривчун,203,107,198,721
18,13436082,Philippe Bogaert,281,339,240,78
19,13446192,Robin Wilensky,229,442,687,163
20,13456202,misstahi,499,654,3121,1742
21,13466212,Vins Franciosa,553,245,4860,680
22,13476212,Jeremiah Lewis,5873,5052,39276,55840
23,13486222,Henriette Hedløv,6356,5503,4383,131
24,13496242,Lou Bortone,28466,9454,38561,1168
25,13506252,fyk_littleme,492,413,26306,1920
26,13516262,ellenm1,488,794,3494,63
27,13526342,Sorin,951,3606,9687,815
28,13536342,John-Scott Dixon,6095,326,3875,172
29,13546342,Peter Armstrong,382,1106,798,17
30,13556362,せぃ / RoBo,705,819,83115,33072
31,13566392,Claudio Vallejo,334,241,1663,646
32,13576392,starwebcanvas,28,526,18,0
33,13586412,deadpris,178,225,2011,7
34,13596422,Mariana Castaño Cano 💚,913,856,1526,1194
35,13606422,榎木 暴也,23,139,3,1
36,13616512,Argee,28,179,378,214
37,13626512,jennyallen,44,120,11,0
38,13636522,Jacqueline,229,719,1303,263
39,13646532,BForney,90,225,327,440
40,13656532,Rodrigo Valenzuela,533,1080,8067,1226
41,13666622,Maria Zamacola,326,328,646,409
42,13676642,Justin Sipher,469,288,846,630
43,13686662,mosullivan,79,448,221,76
44,13696712,María,234,1095,717,83
45,13706852,Mikee Freedom,547,536,4206,2115
46,13717012,scottymchoty,174,322,230,5
47,13727022,Tyce Thielsen,140,187,250,730
48,13737062,Esther Chen,472,1247,1013,43
49,13747062,Alex Smith,1170,344,16926,1991
